"mz","mean_benign_epithelium","mean_tumour_epithelium","fc","log2fc","pvalue","pvalue_adj","mode"
80.9166,0.361014984506845,0.314784896612772,1.14686247145759,0.197692397768617,0.0271570229843612,0.052008260998352,"negative"
80.9651,0.278382674434292,0.234281548008985,1.18823986267845,0.248826093518295,0.00706516718134379,0.0165368729649786,"negative"
81.953,0.214967545177255,0.182983795644767,1.17479006498794,0.23240297018531,0.0156788717417801,0.0327187877466958,"negative"
82.954,0.251367448290325,0.216621436474742,1.16039969257444,0.214621818434325,0.120943516556334,0.180895460293428,"negative"
83.0138,0.119328757396214,0.0924208627079018,1.29114524469821,0.368651302751448,0.00477058870147921,0.0119805712131993,"negative"
83.0502,0.12213779093531,0.100742826810786,1.21237208446322,0.277832538767267,0.000903221955970804,0.00282324467674706,"negative"
83.9308,0.0716350273267119,0.0543655479308819,1.31765483938074,0.397972504846183,0.0136630771927492,0.0291728718950816,"negative"
84.951,0.0930616566234581,0.0768923466745973,1.21028503678381,0.27534685967085,0.0439440887946339,0.0779852843397728,"negative"
84.9907,0.218014306780561,0.179105126175172,1.21724213838153,0.283616182919954,1.39022631326891e-06,9.07122669407965e-06,"negative"
85.0272,0.00973273563208195,0.00837594549930776,1.16198650443539,0.216593313064988,0.258219306310452,0.342480343106494,"negative"
85.0294,0.640126086402532,0.34382298821282,1.86178966604265,0.896690094971131,6.43160216985215e-06,3.61554989671381e-05,"negative"
87.0088,1.60991762260931,1.28306699395134,1.25474166991966,0.327390368248861,1.26112663649891e-05,6.55498823579946e-05,"negative"
87.0452,0.262134750327791,0.254761101555988,1.02894338549632,0.0411636044761126,0.25913509091799,0.343445637364649,"negative"
88.012,0.00986823942899121,0.00694885372086819,1.42012478969816,0.506017708299306,0.0216629986753823,0.0430678182240602,"negative"
88.0404,1.21236128429684,1.18911890684768,1.01954588167366,0.0279267010765544,0.88312611058452,0.911565764993174,"negative"
88.8853,0.0525630667215012,0.0642451748398049,0.818163649683684,-0.289538653953328,0.0499035244112703,0.0867082635277136,"negative"
88.9974,0.683065269541027,0.6655540118782,1.02631079874856,0.0374676899250301,0.760847838045242,0.815289736134109,"negative"
89.0014,0.0105383163876056,0.0149925069874151,0.702905551183111,-0.508597246263748,0.0301699424565986,0.0568852170979121,"negative"
89.0232,0,8.56986383928571e-06,0,-Inf,0.278974694515427,0.366022812839989,"negative"
89.0246,128.007343691347,125.461577166272,1.02029120454704,0.0289809751344097,0.896215739802194,0.921173646480229,"negative"
89.0437,0.00579596655021177,0.00696989767904877,0.831571253568644,-0.266088208084511,0.614865525459397,0.689390660692477,"negative"
89.0473,0.0127938496693512,0.0190627367194591,0.671144435221168,-0.575304816459402,0.0161302029892729,0.0335075393534981,"negative"
89.0513,0.675243176754591,0.657257803814561,1.0273642592536,0.0389477900740418,0.704757206601893,0.768252635120321,"negative"
89.1633,0.0213475947762045,0.0293816771275202,0.726561478555267,-0.460843217119804,0.0853215086089887,0.135373335847696,"negative"
90.0278,4.32248386204784,4.23313669190318,1.02110661116036,0.0301335022223349,0.886395670551705,0.913907951522553,"negative"
90.0307,0.0217631343498768,0.0206759811815598,1.05258048741535,0.0739305557194628,0.354692359989432,0.445989636407909,"negative"
90.9715,0.00107435918143354,0.000573526182895486,1.87325219575776,0.905545142547313,0.00461035899350168,0.0116825601679994,"negative"
90.9858,0.174765681484245,0.121512705137089,1.43825027421681,0.524314745286431,0.000249508380327149,0.00090897669164048,"negative"
91.022,0.747058280751527,0.590126171939359,1.26592975582905,0.34019735442768,0.000279302697422558,0.00100548971072121,"negative"
91.0287,0.857954208268122,0.836892518328514,1.02516654107707,0.0358582984808152,0.760847838045242,0.815289736134109,"negative"
91.0312,0.00925886831800847,0.0113630887612138,0.814819677340917,-0.295447274059045,0.157920047780932,0.226760358158343,"negative"
91.9574,0.000567995335976181,0.000322163139746737,1.76306742112925,0.818087645542375,0.00189485307837794,0.00537979265609401,"negative"
92.0216,0.00373977834711775,0.00277445585085128,1.34793218856601,0.430747919605588,0.00470400945757359,0.0118597692270611,"negative"
92.0254,0.368880518679855,0.556458851867167,0.662907090869517,-0.593121409971001,5.22677756603654e-08,4.96068707176559e-07,"negative"
92.0507,0.00583372378752225,0.00418700784869364,1.39329182039685,0.478497457326769,0.111793670681318,0.169993371897435,"negative"
92.9263,0.00527184709866757,0.00509613115397501,1.03448026343582,0.0489061206789431,0.452019468871695,0.543462681987477,"negative"
92.9279,5.66326814317821,4.61652140452291,1.22673927984603,0.294828664126296,0.124965397157841,0.185694819526128,"negative"
93.0013,0.0471361458932938,0.0343347644825405,1.37284022778904,0.457163733286222,0.00107789656280084,0.00328493247745978,"negative"
93.0191,0.00122293924725736,0.000551566605281995,2.2172104611593,1.14874571962325,1.8865706488411e-05,9.29047055372691e-05,"negative"
93.0347,0.825723274923099,0.671926499744164,1.22888928363072,0.29735494243791,0.000189090914966198,0.000708654567473321,"negative"
93.0454,0.0134007424387385,0.00941086029599062,1.42396571803831,0.509914413852433,0.387894212317302,0.481627729479358,"negative"
93.9728,0.000655822660620116,0.000497246426547338,1.31890874545618,0.399344748795516,0.00681936960345141,0.0160657488916902,"negative"
94.0298,0.00494979894757688,0.00189424074922458,2.61307806286139,1.38575022424491,0.751359896814218,0.807774115753717,"negative"
94.0381,0.00899157329083413,0.00538772226262708,1.6689006694361,0.738898090125033,0.00839408188020283,0.019254861960236,"negative"
94.9252,3.87256420228706,3.14893724818568,1.22980037297292,0.298424149470556,0.120943516556334,0.180895460293428,"negative"
