"mz","mean_gp4_non_cribriform","mean_benign_plus_gp3","fc","log2fc","pvalue","pvalue_adj","mode"
"80.9166",0.436115492111111,0.336760114250125,1.2950330922717,0.372988963893522,0.148051570665973,0.374122018819823,"negative"
"80.9651",0.311983707279942,0.257304619003939,1.21250721610701,0.277993333370549,0.244648047329468,0.508500548886164,"negative"
"81.953",0.232864308457792,0.200222060053552,1.16303022951372,0.21788859586766,0.264302057281249,0.527449326764437,"negative"
"82.954",0.227916419292929,0.238798479931382,0.954429941758509,-0.0672887918490475,0.529420771996667,0.749517047995282,"negative"
"83.0138",0.12022269693658,0.107372581375926,1.11967781156033,0.163083655020471,0.899907584055902,0.960009887408392,"negative"
"83.0502",0.117153968009993,0.113143229788345,1.03544832712617,0.0502555592958264,0.49402670995298,0.723226601830204,"negative"
"83.9308",0.0711323151775974,0.0639747176692727,1.1118816583971,0.153003244959748,0.943596521291986,0.979517591956448,"negative"
"84.951",0.0818866035897908,0.0870745533763415,0.940419449938169,-0.0886237174881283,0.783209006970938,0.906446984336297,"negative"
"84.9907",0.194294406569986,0.202928937798855,0.957450468511157,-0.0627302404154785,0.422648214948711,0.672043767372755,"negative"
"85.0272",0.00954993196504329,0.00906610678718165,1.05336636653626,0.0750073008053933,0.96550992792806,0.991160750024472,"negative"
"85.0294",0.338802573761905,0.523896429510831,0.646697619371541,-0.628836795352343,0.232129278032359,0.494577482175068,"negative"
"87.0088",1.48371522213925,1.47307128000214,1.00722568030591,0.0103869717057881,0.711775086275409,0.86578767152142,"negative"
"87.0452",0.29632199487987,0.256332604339721,1.1560058684035,0.209148721623313,0.0613521338232732,0.222401485109365,"negative"
"88.012",0.00804925684516595,0.00865950797445415,0.929528198243079,-0.105429463364566,0.906133027204578,0.962503383827565,"negative"
"88.0404",1.41603077207071,1.19261756798039,1.18733013003376,0.247721123474713,0.0282889773098487,0.143766235174113,"negative"
"88.8853",0.0670296264564574,0.0577144724734506,1.16140066059327,0.215865759744214,0.4792547145713,0.711780928731733,"negative"
"88.9974",0.767681976117605,0.674250142159346,1.13857147090698,0.187224855801931,0.05509631635089,0.21014816278304,"negative"
"89.0014",0.0201056008066378,0.0120604346323481,1.66707099864471,0.737315548362377,0.235213356120644,0.497959105094457,"negative"
"89.0232",0,4.31867154105737e-06,0,-Inf,0.789047220191153,0.907469153730342,"negative"
"89.0246",143.014003093074,126.72328870214,1.1285534376339,0.174474732560914,0.0433511796461459,0.182832775883191,"negative"
"89.0437",0.00845272426717172,0.00614478363478195,1.37559347400385,0.46005417665878,0.455177756373177,0.692722634142078,"negative"
"89.0473",0.025516738336039,0.0149891214723745,1.70235049352741,0.767528101193149,0.137343828869452,0.358723624509634,"negative"
"89.0513",0.762391683821429,0.665740431928788,1.14517858200774,0.19557259333309,0.0484791791406719,0.19552198739516,"negative"
"89.1633",0.0319952097348485,0.0245805674508344,1.30164650587684,0.380337702373303,0.587530140842581,0.793948481130535,"negative"
"90.0278",4.81821763660173,4.27914516192567,1.12597667390967,0.171176940399123,0.0561004179499402,0.212425831284022,"negative"
"90.0307",0.0253642316199856,0.0211863682327639,1.19719582617094,0.259659154235172,0.145860603947174,0.371410903709389,"negative"
"90.9715",0.00133702297287157,0.000822125076517291,1.62630116883857,0.701594449636888,0.0347801843599514,0.163428336601413,"negative"
"90.9858",0.169770110365765,0.151678439474146,1.11927648355521,0.162566454709401,0.341504471915673,0.60752548217131,"negative"
"91.022",0.757196835114358,0.676197857596087,1.11978591267092,0.163222935630023,0.365979474640084,0.628130108189228,"negative"
"91.0287",0.954817682037518,0.847868012870592,1.12613952589723,0.171385584833442,0.05509631635089,0.21014816278304,"negative"
"91.0312",0.011525901538961,0.0102193300798011,1.12785294622613,0.173578975910104,0.642785852983373,0.830237148479991,"negative"
"91.9574",0.000316522612337662,0.000475654528094381,0.665446439889366,-0.587605542973469,0.394454034374302,0.65071791679341,"negative"
"92.0216",0.00427012667914863,0.00327639252155554,1.30330131419092,0.382170663518315,0.771126507907025,0.899683153854847,"negative"
"92.0254",0.730700571422799,0.434354552275524,1.68226755675694,0.750407177714813,5.51255533200985e-05,0.0262683583635297,"negative"
"92.0507",0.0029885107705267,0.00530515817973202,0.563321708661598,-0.827969025271633,0.0312421783571104,0.1534488797354,"negative"
"92.9263",0.00320080972460317,0.0054665337396054,0.585528211673349,-0.772189411162231,0.135026542283213,0.354845416151449,"negative"
"92.9279",6.2686265595671,5.1989286753602,1.20575352173547,0.269935023894445,0.361826011716977,0.625952649805582,"negative"
"93.0013",0.0419643485215007,0.0417305277227455,1.00560311147534,0.00806101877628458,0.862694756711367,0.943515905723835,"negative"
"93.0191",0.00102016778167388,0.000918923976773595,1.11017647537695,0.150789027849505,0.746196002092999,0.886410985581216,"negative"
"93.0347",0.616542102292929,0.777265981331886,0.793218945767383,-0.334208958623895,0.0129873013699665,0.0961476235536709,"negative"
"93.0454",0.0160304718853535,0.0114011581589961,1.4060389007677,0.491636509892865,0.0250577164564816,0.133891973900431,"negative"
"93.9728",0.000963449389105339,0.000562110391299248,1.71398608532827,0.777355397251237,0.293529564234334,0.558623451933467,"negative"
"94.0298",0.00185484797409812,0.00377544009181301,0.491293181454617,-1.02534387849306,0.595608455949229,0.800129888984737,"negative"
"94.0381",0.00335903442839105,0.00782675976087469,0.429173058969126,-1.22036858009665,0.00107454250102693,0.0353746449730891,"negative"
"94.9252",4.26146848071429,3.55329034564316,1.19930207390439,0.262195082968702,0.357702216259588,0.622698379329459,"negative"
