"mz","mean_gp4_non_cribriform","mean_gp3","fc","log2fc","pvalue","pvalue_adj","mode"
"80.9166",0.436115492111111,0.299407614054775,1.45659452745689,0.542599329949324,0.0457328432550155,0.335712262684499,"negative"
"80.9651",0.311983707279942,0.224844413641196,1.38755374095174,0.472543649158685,0.0478056952507167,0.338639175890778,"negative"
"81.953",0.232864308457792,0.177514012963049,1.3118080345931,0.39155661644736,0.0646345435768364,0.368862653860911,"negative"
"82.954",0.227916419292929,0.21944226865861,1.03861676552161,0.0546634189454931,0.353107558892971,0.662031216235483,"negative"
"83.0138",0.12022269693658,0.0889600703046821,1.35142313315205,0.434479455953949,0.592901504224639,0.82489659032553,"negative"
"83.0502",0.117153968009993,0.0992916056220181,1.17989801127774,0.238662160449086,0.93272550452136,0.977281600564683,"negative"
"83.9308",0.0711323151775974,0.0521778407968163,1.36326674487338,0.447067876049466,0.579987762483283,0.814719784003433,"negative"
"84.951",0.0818866035897908,0.0778544143757818,1.05179140124986,0.0728486074599631,0.447406390618735,0.736743841131888,"negative"
"84.9907",0.194294406569986,0.179697469567029,1.08123062076571,0.112674275107039,0.470154473207292,0.753115898349208,"negative"
"85.0272",0.00954993196504329,0.00803949836603517,1.18787659754859,0.248384969680943,0.700485967815361,0.87529453195739,"negative"
"85.0294",0.338802573761905,0.344902757897611,0.98231332166524,-0.0257448305154967,0.493527308331947,0.76975215676031,"negative"
"87.0088",1.48371522213925,1.26232791238708,1.17538019050337,0.233127488905192,0.0437362376765988,0.333145693264636,"negative"
"87.0452",0.29632199487987,0.247397299518094,1.19775759661515,0.260335963596996,0.0288564270231228,0.298483667020427,"negative"
"88.012",0.00804925684516595,0.00679806153446708,1.18405177775387,0.243732170388681,0.517508278166138,0.782170045995396,"negative"
"88.0404",1.41603077207071,1.16221224485306,1.21839257703719,0.284979057456351,0.0262184504393314,0.296411049981011,"negative"
"88.8853",0.0670296264564574,0.0656476373314528,1.02105162015241,0.030055804761603,0.902950850536445,0.966650507590411,"negative"
"88.9974",0.767681976117605,0.660674845991556,1.16196640567638,0.216568358703972,0.0457328432550155,0.335712262684499,"negative"
"89.0014",0.0201056008066378,0.0144044967292515,1.39578641201736,0.481078192336508,0.632394972815057,0.845593131112605,"negative"
"89.0232",0,1.09694257142857e-05,0,-Inf,0.669815357599417,0.862770578122486,"negative"
"89.0246",143.014003093074,124.745844018762,1.14644302756542,0.197164662035052,0.0332406210071623,0.309537342933703,"negative"
"89.0437",0.00845272426717172,0.00668196194502003,1.2650063464476,0.339144622836991,0.679821281028015,0.869070596440343,"negative"
"89.0473",0.025516738336039,0.0183698400490304,1.38905609781757,0.474104864552524,0.48176378435649,0.762984749387551,"negative"
"89.0513",0.762391683821429,0.651106204897052,1.17091755244749,0.2276394952561,0.0332406210071623,0.309537342933703,"negative"
"89.1633",0.0319952097348485,0.0295593453697643,1.08240589683612,0.114241604102865,0.962594103691439,0.990058455028102,"negative"
"90.0278",4.81821763660173,4.21240356373753,1.1438167221392,0.193855902427699,0.0478056952507167,0.338639175890778,"negative"
"90.0307",0.0253642316199856,0.02029814841241,1.24958351395629,0.321447324909433,0.0968770732389271,0.431737360664545,"negative"
"90.9715",0.00133702297287157,0.000433684554946271,3.0829388725573,1.62430628447178,0.00132890670065297,0.201880859526167,"negative"
"90.9858",0.169770110365765,0.116124086778595,1.46197154333237,0.547915230105113,0.0205169995972319,0.28083607343429,"negative"
"91.022",0.757196835114358,0.567072805936708,1.33527269723964,0.417134407665181,0.0348234239253194,0.320182036646687,"negative"
"91.0287",0.954817682037518,0.832335271958397,1.14715513592369,0.198060507912867,0.0437362376765988,0.333145693264636,"negative"
"91.0312",0.011525901538961,0.0116984411929618,0.985251056003551,-0.0214367042260856,1,1,"negative"
"91.9574",0.000316522612337662,0.00033344968395641,0.949236504236843,-0.0751605124035334,0.823842688260569,0.933264195256247,"negative"
"92.0216",0.00427012667914863,0.00256277835018976,1.66620990802129,0.736570161919061,0.338486372339008,0.652386513284791,"negative"
"92.0254",0.730700571422799,0.535184564012855,1.36532445170681,0.449243829714254,0.0195164984235624,0.276496384280897,"negative"
"92.0507",0.0029885107705267,0.00449116714373506,0.665419628101686,-0.58766367238868,0.0826851585577235,0.409124752349193,"negative"
"92.9263",0.00320080972460317,0.00576635116664967,0.555084078665797,-0.849221781646113,0.161022715046972,0.494341062312899,"negative"
"92.9279",6.2686265595671,4.48384589492046,1.39804683445266,0.483412691686756,0.179829534203164,0.503457164170899,"negative"
"93.0013",0.0419643485215007,0.0334058757401011,1.25619662983796,0.329062303950307,0.173817505519182,0.499788127494625,"negative"
"93.0191",0.00102016778167388,0.000450740460228597,2.26331530379255,1.17843758130437,0.375750802873945,0.68371248039182,"negative"
"93.0347",0.616542102292929,0.702641749201419,0.877462950349385,-0.188589883972326,0.140860485419739,0.485675215353476,"negative"
"93.0454",0.0160304718853535,0.00832179836819278,1.92632303452875,0.945849656054785,0.0302371636032468,0.299383379531544,"negative"
"93.9728",0.000963449389105339,0.00041779349654511,2.3060420927383,1.20541884708794,0.100909306241008,0.441005479163106,"negative"
"94.0298",0.00185484797409812,0.00196692745393665,0.943017990005577,-0.0846428013525617,0.612342943277273,0.837637526786427,"negative"
"94.0381",0.00335903442839105,0.00603294692473714,0.556781697285926,-0.844816307674905,0.00448243746738686,0.210283375056896,"negative"
"94.9252",4.26146848071429,3.06160860641155,1.39190505010667,0.477060799970867,0.179829534203164,0.503457164170899,"negative"
