"mz","mean_gp4_cribriform","mean_gp3","fc","log2fc","pvalue","pvalue_adj","mode"
"80.9166",0.12619408908547,0.299407614054775,0.421479224848248,-1.24646657391473,0.0268855118534081,0.140282283911336,"negative"
"80.9651",0.106659203478632,0.224844413641196,0.474368928057238,-1.07591858079989,0.0359311264753331,0.153773399087148,"negative"
"81.953",0.0912516266923077,0.177514012963049,0.514053088931646,-0.960010733166081,0.043308142810792,0.166555708676773,"negative"
"82.954",0.12819262974359,0.21944226865861,0.584174737743991,-0.775528123778625,0.197253640483029,0.394074469906304,"negative"
"83.0138",0.0481606772564103,0.0889600703046821,0.541374091673526,-0.885302248170274,0.138376035656362,0.312827760310659,"negative"
"83.0502",0.0647556622264957,0.0992916056220181,0.652176604666931,-0.616665406233343,0.0867482730082715,0.236479947826441,"negative"
"83.9308",0.0293491869273504,0.0521778407968163,0.562483737907782,-0.830116708031359,0.452911192423513,0.644078237230225,"negative"
"84.951",0.0425456096324786,0.0778544143757818,0.54647652254017,-0.871768578024821,0.148914673178766,0.327504371809822,"negative"
"84.9907",0.113538708196581,0.179697469567029,0.631832537598589,-0.662385861152656,0.039473554920131,0.160808374741742,"negative"
"85.0272",0.00967878067948718,0.00803949836603517,1.20390355701514,0.267719824498863,0.550697291228232,0.721283614688867,"negative"
"85.0294",0.344235013119658,0.344902757897611,0.998063962196117,-0.00279581941880979,0.832344912113741,0.908693096498275,"negative"
"87.0088",0.893008183333333,1.26232791238708,0.707429642147926,-0.49934142393468,0.0619342905501801,0.199086219050093,"negative"
"87.0452",0.225101193333333,0.247397299518094,0.909877325952259,-0.136256047565608,0.500581351949032,0.686156298004658,"negative"
"88.012",0.00542724537179487,0.00679806153446708,0.798351904330082,-0.32490328487666,0.407933674120707,0.610894095866618,"negative"
"88.0404",0.805553100940171,1.16221224485306,0.693120473052679,-0.528821962193038,0.0734883472918226,0.217951596772653,"negative"
"88.8853",0.030661144051282,0.0656476373314528,0.46705632217158,-1.09833156033115,0.0867482730082715,0.236479947826441,"negative"
"88.9974",0.372404241111111,0.660674845991556,0.563672498462081,-0.827070914671427,0.00937476845943489,0.135825571218639,"negative"
"89.0014",0.00604466728632479,0.0144044967292515,0.419637520139787,-1.25278441864134,0.160055282892894,0.3437036204575,"negative"
"89.0232",0,1.09694257142857e-05,0,-Inf,0.870282772281036,0.92976528502421,"negative"
"89.0246",73.0315678931624,124.745844018762,0.585442893650054,-0.772399643317003,0.00937476845943489,0.135825571218639,"negative"
"89.0437",0.00633179575641026,0.00668196194502003,0.947595303371826,-0.0776570468146704,0.55077762452289,0.721283614688867,"negative"
"89.0473",0.00694634196581197,0.0183698400490304,0.378138402254549,-1.40301372366627,0.119032898457008,0.286339376605299,"negative"
"89.0513",0.374293559081197,0.651106204897052,0.574857920668069,-0.798722664875783,0.0104796864677178,0.135825571218639,"negative"
"89.1633",0.0168375868632479,0.0295593453697643,0.569619748090589,-0.811928931064639,0.256174919289884,0.463269099210334,"negative"
"90.0278",2.43339203076923,4.21240356373753,0.577673053863377,-0.791674894591091,0.00937476845943489,0.135825571218639,"negative"
"90.0307",0.00978294239316239,0.02029814841241,0.4819623048564,-1.0530077798084,0.0130425199405689,0.135825571218639,"negative"
"90.9715",0.000104731752136752,0.000433684554946271,0.24149292600408,-2.04994716573649,0.443878581968375,0.643684490238934,"negative"
"90.9858",0.0343791919401709,0.116124086778595,0.296055649554594,-1.75605971028194,0.0161447780943684,0.135825571218639,"negative"
"91.022",0.361756507008547,0.567072805936708,0.637936616288603,-0.648515006177378,0.067508162007478,0.207480781460958,"negative"
"91.0287",0.480454357564103,0.832335271958397,0.577236570106712,-0.792765392008517,0.00937476845943489,0.135825571218639,"negative"
"91.0312",0.00517690138034188,0.0116984411929618,0.442529162214919,-1.17615556444527,0.128421599752797,0.298095262141292,"negative"
"91.9574",0.000154736003418803,0.00033344968395641,0.464046034120792,-1.10766016474244,0.952674865138477,0.977305541793464,"negative"
"92.0216",0.000818287824786325,0.00256277835018976,0.319297150581023,-1.64702841658308,0.128267609950466,0.298095262141292,"negative"
"92.0254",0.272144011068376,0.535184564012855,0.508504970748445,-0.975666218072865,0.0179263390766387,0.135825571218639,"negative"
"92.0507",0.00351217555128205,0.00449116714373506,0.782018446180822,-0.354725456792421,0.500546809066539,0.686156298004658,"negative"
"92.9263",0.000875309517094017,0.00576635116664967,0.151796082444036,-2.71979353675251,0.137707795885779,0.312827760310659,"negative"
"92.9279",0.770060996068376,4.48384589492046,0.171741182483712,-2.54169206462755,0.00837498496141481,0.135825571218639,"negative"
"93.0013",0.0218411020470085,0.0334058757401011,0.653810192462341,-0.613056226958911,0.184209288186653,0.378606223236902,"negative"
"93.0191",0.000513798042735043,0.000450740460228597,1.13989776394705,0.188904436617444,0.799182838387122,0.889727705108598,"negative"
"93.0347",0.363081799444444,0.702641749201419,0.516738152631981,-0.952494687840462,0.0130425199405689,0.135825571218639,"negative"
"93.0454",0.00328998326495727,0.00832179836819278,0.395345227004309,-1.33881508776298,0.240322028784216,0.445143935207543,"negative"
"93.9728",0.000112051063871795,0.00041779349654511,0.26819724289245,-1.89863368868836,0.448729072860432,0.644078237230225,"negative"
"94.0298",0.000827235846153846,0.00196692745393665,0.420572626864402,-1.24957314013888,0.148750807553448,0.327504371809822,"negative"
"94.0381",0.00207249995299145,0.00603294692473714,0.343530281112452,-1.54149082121429,0.0296503664375848,0.143615168487553,"negative"
"94.9252",0.525133425149573,3.06160860641155,0.171522063287205,-2.54353392928971,0.00837498496141481,0.135825571218639,"negative"
