"mz","mean_m_","mean_b_","fc","log2fc","pvalue","pvalue_adj","mode"
468.85511,0.0021808436503271,0.00119586748620257,1.82364992399976,0.866828809885064,0.477773766227843,0.601664783099403,"negative"
399.12058,0.00340004226604062,0.00179031416355894,1.8991316358028,0.925339907455846,0.0497672991837158,0.0977125738157266,"negative"
294.84112,0.00128142296959488,0.0010884463464698,1.17729548521245,0.235476462728985,0.43044587073035,0.557781773807985,"negative"
322.12258,2.48390611436206,2.16357143299405,1.14805828755315,0.199195890296842,0.461452379663507,0.587209120965539,"negative"
338.78703,0.0013453474165509,0.00217772724154668,0.617775904568929,-0.694844493000531,0.626496190228562,0.734958343161882,"negative"
140.9688,0.00713607186584595,0.00427848891689418,1.66789537251533,0.738028791008238,0.293997379354248,0.418055364430245,"negative"
362.15839,0.00557046412949925,0.00506188737777753,1.10047176354702,0.138122128315977,0.23956330044638,0.359135199413086,"negative"
302.87306,0.00188933362482817,0.00236648911287866,0.798369878207442,-0.324870804799018,0.792637583066535,0.857757707359981,"negative"
300.87761,0.0008837216285771,0.00131866029308487,0.670166253743579,-0.577409053499481,0.49508289948173,0.620133868753559,"negative"
297.08807,0.00779204722040324,0.00881523453893187,0.883929654507795,-0.177996534242321,0.811723114572321,0.872304803562158,"negative"
298.16262,0.00145442936835545,0.001391547660415,1.0451883250062,0.0637629146254048,0.35168751971084,0.480609737529849,"negative"
416.89717,0.00579199988951349,0.00545517140880036,1.06174480240341,0.0864370462269466,0.7407049077797,0.820722025916468,"negative"
161.98691,17.5877932189817,1.96416638051877,8.95432962982311,3.16258542819878,0.00916412898206521,0.0226777456813928,"negative"
217.93795,0.00914543593157224,0.00183042297020364,4.99635116060349,2.32087487803822,0.265964336197549,0.387589331554969,"negative"
272.11044,0.00479212801830917,0.00260841744677283,1.83717833364366,0.877491674666945,0.0218069921697381,0.0481549697677628,"negative"
354.22496,0.00509428944402411,0.00340245816952141,1.49723793510757,0.582303506982781,0.0702551239353555,0.130627902552414,"negative"
394.14781,0.0125432342000596,0.0164077404904393,0.764470537998113,-0.387467192389644,0.863053523903016,0.908553821854157,"negative"
370.86448,0.00407499586558575,0.00387062100568211,1.05280156843143,0.0742335434701337,0.564503855121303,0.682275425668182,"negative"
334.79068,0.000932677110729671,0.00205848124236442,0.453089924520458,-1.14213068526755,0.0952134725815477,0.169559476314578,"negative"
454.70397,0.00278051494463505,0.00194629984430205,1.42861592101301,0.514618104447444,0.468264596524978,0.593472415717342,"negative"
330.87148,0.0051909494667326,0.00475651598595178,1.09133438888125,0.126093216478522,0.399528892284339,0.527552395932257,"negative"
362.16623,0.00653664095405877,0.00667963585911845,0.978592410114022,-0.031220001502598,0.723353564580359,0.808684544676721,"negative"
512.66038,0.00427644203005772,0.00210222030559984,2.03425017761756,1.02449711666504,0.000376408272002259,0.00142299763655235,"negative"
186.00135,0.00373936964610179,0.00329334343162678,1.13543264580053,0.183242127487667,0.380492432038988,0.509585654610903,"negative"
296.18448,0.0832968309170913,0.11347438310846,0.734058460026835,-0.446033131774841,0.720089356687638,0.806600303936281,"negative"
562.58546,0.00572040435924598,0.00755839554581033,0.75682786440263,-0.401962889012041,0.715845145867296,0.803538360809268,"negative"
290.84851,0.00223136328571996,0.00358768189863231,0.621951262337554,-0.685126563307718,0.0959862483485125,0.170611920596741,"negative"
324.10768,0.00294293988006214,0.00479852033552165,0.613301533449105,-0.705331536707302,0.725017688756381,0.809071463612204,"negative"
394.7448,0.00127412601035427,0.00128394027407734,0.992356136869274,-0.0110701268070583,0.676068586123193,0.772591011356611,"negative"
352.13761,0.103301673146364,0.128034770567843,0.806825151388283,-0.309672036695575,0.97275841628514,0.982034264366259,"negative"
270.13276,0.00646541982756132,0.00385878546438061,1.67550642222581,0.744597216411421,0.000782673467147663,0.00271706437718362,"negative"
294.81521,0.00880893091247837,0.00762955100538255,1.15458051283277,0.207368780660332,0.0724033694172354,0.134090897282833,"negative"
292.81893,0.00945285297083589,0.00616756929024959,1.53267073720275,0.616047796914596,0.878377876212028,0.920038045145009,"negative"
546.82178,0.00793306369564271,0.00958154586633338,0.827952379116304,-0.272380303477343,0.654913423269426,0.757167471354168,"negative"
506.82897,0.00756453524355765,0.00888017403523025,0.851845382032709,-0.231336503424232,0.684346492635806,0.777843144128949,"negative"
230.10154,0.00568659359879504,0.017114945087367,0.332258945019488,-1.58962005486961,0.828730914793854,0.885535817759885,"negative"
502.63099,0.00741307830057026,0.00911694459127596,0.813109943397469,-0.298477657629621,0.527524792459567,0.648120150738782,"negative"
560.58743,0.00487947849822896,0.00571475780377971,0.85383819678267,-0.227965391336344,0.172273496300771,0.273683751634827,"negative"
215.93916,0.0207550468909034,0.00179749066965321,11.5466785120546,3.52940600424877,0.59063910252874,0.704339006001553,"negative"
447.28588,0.0165581849748391,0.0141896195351504,1.16692240646913,0.222708633432648,0.520530631649813,0.642261785132513,"negative"
350.92694,0.0125090384299492,0.0155129665389466,0.806360176085222,-0.310503705036483,0.342203219641396,0.470733194039502,"negative"
452.70349,0.00280412343366968,0.00350604666313396,0.799796381250429,-0.322295341326055,0.911891547884866,0.943041562192779,"negative"
173.14651,0.0102800254697924,0.0166562321589878,0.617187931320064,-0.696218243599141,0.540396722167734,0.658866286137601,"negative"
352.26165,0.0398776917930016,0.038331249776559,1.0403441584988,0.0570608683891691,0.169488443166352,0.270288706731727,"negative"
218.02763,0.00474466093174822,0.00467792900804527,1.01426527071877,0.0204350238401104,0.4016811055091,0.529463086404903,"negative"
