"mz","mean_gp4_cribriform","mean_benign_plus_gp3","fc","log2fc","pvalue","pvalue_adj","mode"
"80.9166",0.12619408908547,0.336760114250125,0.374729915288427,-1.41607693997053,0.0105140833556027,0.0707994276177423,"negative"
"80.9651",0.106659203478632,0.257304619003939,0.414525024430283,-1.27046889658803,0.0136855557319051,0.0738656139503414,"negative"
"81.953",0.0912516266923077,0.200222060053552,0.455752111769808,-1.13367875374578,0.0208684968557247,0.0864552012594309,"negative"
"82.954",0.12819262974359,0.238798479931382,0.536823474673815,-0.897480334573165,0.0970927941968735,0.215408057070659,"negative"
"83.0138",0.0481606772564103,0.107372581375926,0.448537947390808,-1.15669804910375,0.0585309318811231,0.156110967221623,"negative"
"83.0502",0.0647556622264957,0.113143229788345,0.572333513438083,-0.805072007386603,0.0266011796685631,0.0973916503563206,"negative"
"83.9308",0.0293491869273504,0.0639747176692727,0.458762273544928,-1.12418133912108,0.17240806781361,0.319625175648202,"negative"
"84.951",0.0425456096324786,0.0870745533763415,0.488611287485954,-1.03324090297291,0.07711871117815,0.18723705690695,"negative"
"84.9907",0.113538708196581,0.202928937798855,0.559499839836158,-0.837790376675173,0.0114898906889221,0.0707994276177423,"negative"
"85.0272",0.00967878067948718,0.00906610678718165,1.06757849942511,0.0943421556233139,0.756455627744901,0.841960026236307,"negative"
"85.0294",0.344235013119658,0.523896429510831,0.657066919583848,-0.605887784255656,0.495079274891192,0.646771423114915,"negative"
"87.0088",0.893008183333333,1.47307128000214,0.606221976802126,-0.722081941134084,0.022646640614346,0.0897514368815837,"negative"
"87.0452",0.225101193333333,0.256332604339721,0.878160598856178,-0.18744328953929,0.321018366369411,0.486520576820335,"negative"
"88.012",0.00542724537179487,0.00865950797445415,0.626738307511863,-0.674064918629907,0.321015723067725,0.486520576820335,"negative"
"88.0404",0.805553100940171,1.19261756798039,0.675449634960781,-0.566079896174676,0.0627881425131353,0.163061743243068,"negative"
"88.8853",0.030661144051282,0.0577144724734506,0.531255727328818,-0.912521605348544,0.132566756444545,0.26542407016349,"negative"
"88.9974",0.372404241111111,0.674250142159346,0.552323563356551,-0.856414417573467,0.00606002157579853,0.0707994276177423,"negative"
"89.0014",0.00604466728632479,0.0120604346323481,0.501198130133053,-0.996547062615467,0.220590245702567,0.378781001055026,"negative"
"89.0232",0,4.31867154105737e-06,0,-Inf,0.918389097481369,0.953892484990598,"negative"
"89.0246",73.0315678931624,126.72328870214,0.576307391018088,-0.795089572791141,0.00730756903530625,0.0707994276177423,"negative"
"89.0437",0.00633179575641026,0.00614478363478195,1.03043428910495,0.0432525070071187,0.587335252810362,0.720659798041196,"negative"
"89.0473",0.00694634196581197,0.0149891214723745,0.463425556902339,-1.10959048702564,0.209128070512557,0.364404502598606,"negative"
"89.0513",0.374293559081197,0.665740431928788,0.562221462194793,-0.830789566798793,0.00918838441276793,0.0707994276177423,"negative"
"89.1633",0.0168375868632479,0.0245805674508344,0.68499585686645,-0.545832832794201,0.244857068148004,0.405764209326304,"negative"
"90.0278",2.43339203076923,4.27914516192567,0.568663118143478,-0.814353856619666,0.00665756766806242,0.0707994276177423,"negative"
"90.0307",0.00978294239316239,0.0211863682327639,0.461756459893559,-1.11479595048266,0.00961270031740709,0.0707994276177423,"negative"
"90.9715",0.000104731752136752,0.000822125076517291,0.127391506631107,-2.97265900057138,0.146788844883932,0.28790469093177,"negative"
"90.9858",0.0343791919401709,0.151678439474146,0.226658396930771,-2.14140848567766,0.0076534582596143,0.0707994276177423,"negative"
"91.022",0.361756507008547,0.676197857596087,0.53498617741057,-0.902426478212535,0.0287929849922455,0.102743717931314,"negative"
"91.0287",0.480454357564103,0.847868012870592,0.566661733041972,-0.819440315087943,0.00665756766806242,0.0707994276177423,"negative"
"91.0312",0.00517690138034188,0.0102193300798011,0.506579329556467,-0.981139884309078,0.1247665556919,0.255119684279354,"negative"
"91.9574",0.000154736003418803,0.000475654528094381,0.325311742618584,-1.62010519531238,0.433247568785432,0.593360800727875,"negative"
"92.0216",0.000818287824786325,0.00327639252155554,0.249752683600261,-2.00142791498383,0.0377086692140884,0.120830606691465,"negative"
"92.0254",0.272144011068376,0.434354552275524,0.626548080692721,-0.674502870072306,0.0824502329228499,0.19537817840473,"negative"
"92.0507",0.00351217555128205,0.00530515817973202,0.662030316965867,-0.595030809675375,0.393755067695221,0.558976153778418,"negative"
"92.9263",0.000875309517094017,0.0054665337396054,0.160121488092599,-2.64276116626863,0.0506436886566205,0.144153884999833,"negative"
"92.9279",0.770060996068376,5.1989286753602,0.148119169189222,-2.75516973241986,0.00477185383684601,0.0707994276177423,"negative"
"93.0013",0.0218411020470085,0.0417305277227455,0.523384276185511,-0.934057512132933,0.065010920097933,0.166701685640594,"negative"
"93.0191",0.000513798042735043,0.000918923976773595,0.559130086624818,-0.838744116837421,0.596587898641121,0.727464785837244,"negative"
"93.0347",0.363081799444444,0.777265981331886,0.467126837099296,-1.09811376249203,0.00551122559967589,0.0707994276177423,"negative"
"93.0454",0.00328998326495727,0.0114011581589961,0.288565707016467,-1.7930282339249,0.298835333260138,0.465088885414454,"negative"
"93.9728",0.000112051063871795,0.000562110391299248,0.199339961698276,-2.32669713852506,0.147665027959293,0.289467817684151,"negative"
"94.0298",0.000827235846153846,0.00377544009181301,0.219109779532112,-2.19027421727938,0.167513677511794,0.315156674367751,"negative"
"94.0381",0.00207249995299145,0.00782675976087469,0.264796674014668,-1.91704309363604,0.0217410340291716,0.0880757917688873,"negative"
