"mz","mean_gp4_non_cribriform","mean_benign_epithelium","fc","log2fc","pvalue","pvalue_adj","mode"
"80.9166",0.436115492111111,0.361014984506845,1.20802601229103,0.272651520390827,0.331297310283943,0.531589533021512,"negative"
"80.9651",0.311983707279942,0.278382674434292,1.12070087664016,0.16440126353687,0.596173410543503,0.761800313262727,"negative"
"81.953",0.232864308457792,0.214967545177255,1.08325332675581,0.115370667246054,0.587454640677203,0.754619890169943,"negative"
"82.954",0.227916419292929,0.251367448290325,0.90670618189866,-0.141292973671673,0.705053183164537,0.836534835905422,"negative"
"83.0138",0.12022269693658,0.119328757396214,1.00749140073082,0.0107675249309667,0.570196491514675,0.742513934371053,"negative"
"83.0502",0.117153968009993,0.12213779093531,0.959195078876473,-0.0601038378227994,0.300860993061991,0.500795053173377,"negative"
"83.9308",0.0711323151775974,0.0716350273267119,0.992982313710557,-0.0101600731551686,0.622676560499933,0.780643597303727,"negative"
"84.951",0.0818866035897908,0.0930616566234581,0.879917750885487,-0.184559418791134,0.949699071916092,0.97369483734912,"negative"
"84.9907",0.194294406569986,0.218014306780561,0.89120025854794,-0.166178443666132,0.0752417235773958,0.190292780127874,"negative"
"85.0272",0.00954993196504329,0.00973273563208195,0.981217647951303,-0.0273549127826538,0.738105250960648,0.857366531968284,"negative"
"85.0294",0.338802573761905,0.640126086402532,0.529274749082566,-0.917911268124743,0.0170976547652717,0.0649746464128743,"negative"
"87.0088",1.48371522213925,1.60991762260931,0.921609404917553,-0.117772655495721,0.449040165864914,0.643853429814946,"negative"
"87.0452",0.29632199487987,0.262134750327791,1.1304185900928,0.176857096557813,0.126848239222531,0.274112289728214,"negative"
"88.012",0.00804925684516595,0.00986823942899121,0.815673039054828,-0.293937128306443,0.528138869658724,0.709628324127287,"negative"
"88.0404",1.41603077207071,1.21236128429684,1.16799405458744,0.224032930520119,0.0435173879901444,0.130373667711245,"negative"
"88.8853",0.0670296264564574,0.0525630667215012,1.27522290150241,0.350749443778595,0.295004706411868,0.493973951314141,"negative"
"88.9974",0.767681976117605,0.683065269541027,1.12387792257896,0.16848533622179,0.083894986643115,0.204256327480437,"negative"
"89.0014",0.0201056008066378,0.0105383163876056,1.90785701122852,0.931953049267041,0.114762204409156,0.254948239627438,"negative"
"89.0246",143.014003093074,128.007343691347,1.11723280062675,0.159929835163447,0.0711965262216903,0.183493093692035,"negative"
"89.0437",0.00845272426717172,0.00579596655021177,1.45838044335554,0.544367120313635,0.360332383935606,0.560245493082925,"negative"
"89.0473",0.025516738336039,0.0127938496693512,1.99445350660689,0.995993492655722,0.0567596139490993,0.157512241749324,"negative"
"89.0513",0.762391683821429,0.675243176754591,1.12906240309706,0.175125225836935,0.083894986643115,0.204256327480437,"negative"
"89.1633",0.0319952097348485,0.0213475947762045,1.4987735185283,0.5837823923704,0.363656668105893,0.562119811350118,"negative"
"90.0278",4.81821763660173,4.32248386204784,1.11468724704944,0.156638983308347,0.083894986643115,0.204256327480437,"negative"
"90.0307",0.0253642316199856,0.0217631343498768,1.16546776820909,0.220909106321866,0.225808840406697,0.414190801187974,"negative"
"90.9715",0.00133702297287157,0.00107435918143354,1.24448415015876,0.315547856166297,0.215550688182589,0.400752268365275,"negative"
"90.9858",0.169770110365765,0.174765681484245,0.971415605878376,-0.0418394313150083,0.97986841893316,0.989623746112805,"negative"
"91.022",0.757196835114358,0.747058280751527,1.01357130310186,0.0194475836376111,0.97986841893316,0.989623746112805,"negative"
"91.0287",0.954817682037518,0.857954208268122,1.1129005171091,0.154324635008716,0.086179732921611,0.208429393794519,"negative"
"91.0312",0.011525901538961,0.00925886831800847,1.24484992583199,0.315971827186294,0.456634973334242,0.647372252568576,"negative"
"91.9574",0.000316522612337662,0.000567995335976181,0.557262696169279,-0.843570513968866,0.130970640633039,0.280695293187711,"negative"
"92.0216",0.00427012667914863,0.00373977834711775,1.14181277145466,0.191326104432287,0.864745789829057,0.933352964911393,"negative"
"92.0254",0.730700571422799,0.368880518679855,1.9808597484026,0.98612673613499,9.81202745651796e-07,0.000631275615465078,"negative"
"92.0507",0.0029885107705267,0.00583372378752225,0.512281842503208,-0.964990337576276,0.0223911975789621,0.079545382838881,"negative"
"92.9263",0.00320080972460317,0.00527184709866757,0.607151471713238,-0.719871610979362,0.146694793223478,0.303624295024023,"negative"
"92.9279",6.2686265595671,5.66326814317821,1.10689206321938,0.146514546915967,0.578795346601403,0.747440101056691,"negative"
"93.0013",0.0419643485215007,0.0471361458932938,0.89027958748471,-0.167669617084029,0.528140685919487,0.709628324127287,"negative"
"93.0191",0.00102016778167388,0.00122293924725736,0.834193345222809,-0.261546291713624,0.2664102317663,0.464548859038306,"negative"
"93.0347",0.616542102292929,0.825723274923099,0.746669157836623,-0.421458955055401,0.00278782122096543,0.0181805769624389,"negative"
"93.0454",0.0160304718853535,0.0134007424387385,1.19623759344953,0.258503962151925,0.0329845218161626,0.105207240667661,"negative"
"93.9728",0.000963449389105339,0.000655822660620116,1.46906998943029,0.554903130406562,0.560691060369763,0.736509412729496,"negative"
"94.0298",0.00185484797409812,0.00494979894757688,0.37473198280228,-1.41606898014765,0.613754175238493,0.774013905434728,"negative"
"94.0381",0.00335903442839105,0.00899157329083413,0.373575827026311,-1.42052698929788,0.000865746455883025,0.00814872695073404,"negative"
"94.9252",4.26146848071429,3.87256420228706,1.10042552120828,0.138061504321166,0.570196491514675,0.742513934371053,"negative"
"94.9807",1.2501433083456,1.34118745736085,0.932116760773764,-0.101417410781994,0.456634973334242,0.647372252568576,"negative"
