"mz","mean_gp4_cribriform","mean_gp4_non_cribriform","fc","log2fc","pvalue","pvalue_adj","mode"
"80.9166",0.12619408908547,0.436115492111111,0.289359335699359,-1.78906590386405,0.0127313642699235,0.168179548692693,"negative"
"80.9651",0.106659203478632,0.311983707279942,0.341874274168194,-1.54846222995858,0.0195174811821778,0.168179548692693,"negative"
"81.953",0.0912516266923077,0.232864308457792,0.391866092732917,-1.35156734961344,0.0292725091863045,0.176523596712015,"negative"
"82.954",0.12819262974359,0.227916419292929,0.562454561813865,-0.830191542724118,0.161124949289052,0.379317194639664,"negative"
"83.0138",0.0481606772564103,0.12022269693658,0.400595548790724,-1.31978170412422,0.212911902811505,0.452121712858634,"negative"
"83.0502",0.0647556622264957,0.117153968009993,0.552739811774641,-0.855327566682429,0.436274928840529,0.675376253477806,"negative"
"83.9308",0.0293491869273504,0.0711323151775974,0.412599911222821,-1.27718458408083,0.533416513472694,0.732244703331422,"negative"
"84.951",0.0425456096324786,0.0818866035897908,0.51956739890703,-0.944617185484784,0.161124949289052,0.379317194639664,"negative"
"84.9907",0.113538708196581,0.194294406569986,0.584364265554316,-0.775060136259694,0.0617066900283127,0.230167913159534,"negative"
"85.0272",0.00967878067948718,0.00954993196504329,1.0134921081025,0.0193348548179205,0.755496874928883,0.876876606538684,"negative"
"85.0294",0.344235013119658,0.338802573761905,1.01603423284963,0.022949011096687,0.876269663627762,0.942701659787267,"negative"
"87.0088",0.893008183333333,1.48371522213925,0.601873034668861,-0.732468912839871,0.0292725091863045,0.176523596712015,"negative"
"87.0452",0.225101193333333,0.29632199487987,0.759650640933995,-0.396592011162604,0.119470986771701,0.316699961968571,"negative"
"88.012",0.00542724537179487,0.00804925684516595,0.67425421702803,-0.568635455265341,0.350201389179296,0.60063317395931,"negative"
"88.0404",0.805553100940171,1.41603077207071,0.568881070121227,-0.813801019649389,0.0292725091863045,0.176523596712015,"negative"
"88.8853",0.030661144051282,0.0670296264564574,0.457426748024615,-1.12838736509276,0.0867681727038757,0.266795344444591,"negative"
"88.9974",0.372404241111111,0.767681976117605,0.48510223334208,-1.0436392733754,0.0127313642699235,0.168179548692693,"negative"
"89.0014",0.00604466728632479,0.0201056008066378,0.300645941618873,-1.73386261097784,0.212911902811505,0.452121712858634,"negative"
"89.0246",73.0315678931624,143.014003093074,0.510660259230933,-0.969564305352055,0.0195174811821778,0.168179548692693,"negative"
"89.0437",0.00633179575641026,0.00845272426717172,0.749083438223743,-0.416801669651662,0.640428787412791,0.819382233913467,"negative"
"89.0473",0.00694634196581197,0.025516738336039,0.272226876112971,-1.87711858821879,0.119470986771701,0.316699961968571,"negative"
"89.0513",0.374293559081197,0.762391683821429,0.490946539717064,-1.02636216013188,0.0127313642699235,0.168179548692693,"negative"
"89.1633",0.0168375868632479,0.0319952097348485,0.526253367387954,-0.926170535167504,0.161124949289052,0.379317194639664,"negative"
"90.0278",2.43339203076923,4.81821763660173,0.50503987455525,-0.985530797018789,0.0195174811821778,0.168179548692693,"negative"
"90.0307",0.00978294239316239,0.0253642316199856,0.385698354270428,-1.37445510471783,0.0127313642699235,0.168179548692693,"negative"
"90.9715",0.000104731752136752,0.00133702297287157,0.0783320513272976,-3.67425345020827,0.0429601460284251,0.195701251207195,"negative"
"90.9858",0.0343791919401709,0.169770110365765,0.202504385878657,-2.30397494038706,0.0127313642699235,0.168179548692693,"negative"
"91.022",0.361756507008547,0.757196835114358,0.477757552900907,-1.06564941384256,0.0292725091863045,0.176523596712015,"negative"
"91.0287",0.480454357564103,0.954817682037518,0.503189631489485,-0.990825899921385,0.0195174811821778,0.168179548692693,"negative"
"91.0312",0.00517690138034188,0.011525901538961,0.449153705056597,-1.15471886021918,0.212911902811505,0.452121712858634,"negative"
"91.9574",0.000154736003418803,0.000316522612337662,0.488862398411312,-1.03249965233891,1,1,"negative"
"92.0216",0.000818287824786325,0.00427012667914863,0.191630807765514,-2.38359857850214,0.0429601460284251,0.195701251207195,"negative"
"92.0254",0.272144011068376,0.730700571422799,0.372442586897756,-1.42491004778712,0.0127313642699235,0.168179548692693,"negative"
"92.0507",0.00351217555128205,0.0029885107705267,1.17522599748338,0.232938215596258,0.876269663627762,0.942701659787267,"negative"
"92.9263",0.000875309517094017,0.00320080972460317,0.273465026791786,-1.8705717551064,0.531606916893115,0.732244703331422,"negative"
"92.9279",0.770060996068376,6.2686265595671,0.122843654626885,-3.0251047563143,0.0127313642699235,0.168179548692693,"negative"
"93.0013",0.0218411020470085,0.0419643485215007,0.520468035761787,-0.942118530909218,0.0867681727038757,0.266795344444591,"negative"
