"mz","mean_gp4_cribriform","mean_benign_epithelium","fc","log2fc","pvalue","pvalue_adj","mode"
"80.9166",0.12619408908547,0.361014984506845,0.349553604424077,-1.51641438347322,0.00673381491603546,0.0441244721512625,"negative"
"80.9651",0.106659203478632,0.278382674434292,0.383138798761012,-1.3840609664217,0.00844462623927686,0.0443616264742444,"negative"
"81.953",0.0912516266923077,0.214967545177255,0.424490248595733,-1.23619668236739,0.0150506096345999,0.0554488151119318,"negative"
"82.954",0.12819262974359,0.251367448290325,0.509981028233734,-0.971484516395791,0.0645020400559633,0.142888656970159,"negative"
"83.0138",0.0481606772564103,0.119328757396214,0.403596570577699,-1.30901417919326,0.0355585739681329,0.0945552465824131,"negative"
"83.0502",0.0647556622264957,0.12213779093531,0.530185307353344,-0.915431404505229,0.0130717647277192,0.0517624870074869,"negative"
"83.9308",0.0293491869273504,0.0716350273267119,0.409704414482808,-1.28734465723599,0.0850566697805934,0.174461742342105,"negative"
"84.951",0.0425456096324786,0.0930616566234581,0.457176577079696,-1.12917660427592,0.0542709671937844,0.126690090296999,"negative"
"84.9907",0.113538708196581,0.218014306780561,0.520785584548183,-0.941238579925826,0.00577344451684522,0.0441244721512625,"negative"
"85.0272",0.00967878067948718,0.00973273563208195,0.994456342529543,-0.00802005796473328,0.919311788460701,0.945735199142564,"negative"
"85.0294",0.344235013119658,0.640126086402532,0.537761263650787,-0.894962257028056,0.205431241182615,0.33172466234309,"negative"
"87.0088",0.893008183333333,1.60991762260931,0.554691849317091,-0.850241568335592,0.0130717647277192,0.0517624870074869,"negative"
"87.0452",0.225101193333333,0.262134750327791,0.8587232064877,-0.219734914604791,0.244047192331424,0.377549279322894,"negative"
"88.012",0.00542724537179487,0.00986823942899121,0.549970986298787,-0.862572583571784,0.287492594044573,0.424957803356815,"negative"
"88.0404",0.805553100940171,1.21236128429684,0.664449707668935,-0.589768089129269,0.0645020400559633,0.142888656970159,"negative"
"88.8853",0.030661144051282,0.0525630667215012,0.583321064840761,-0.777637921314163,0.187879598219218,0.311511540916605,"negative"
"88.9974",0.372404241111111,0.683065269541027,0.545195690246909,-0.875153937153608,0.00577344451684522,0.0441244721512625,"negative"
"89.0014",0.00604466728632479,0.0105383163876056,0.573589467614965,-0.801909561710803,0.287484119385173,0.424957803356815,"negative"
"89.0246",73.0315678931624,128.007343691347,0.570526391589355,-0.809634470188608,0.00783543280325097,0.0441468598220205,"negative"
"89.0437",0.00633179575641026,0.00579596655021177,1.09244863674703,0.127565450661973,0.630397899097394,0.736978139482736,"negative"
"89.0473",0.00694634196581197,0.0127938496693512,0.542943847656154,-0.881125095563068,0.311068327934338,0.449252557471625,"negative"
"89.0513",0.374293559081197,0.675243176754591,0.554309279925133,-0.851236934294948,0.0105342159842098,0.0472486763616091,"negative"
"89.1633",0.0168375868632479,0.0213475947762045,0.788734611077411,-0.342388142797104,0.254450582646337,0.388215243310395,"negative"
"90.0278",2.43339203076923,4.32248386204784,0.562961507418185,-0.828891813710443,0.00673381491603546,0.0441244721512625,"negative"
"90.0307",0.00978294239316239,0.0217631343498768,0.449519000153477,-1.15354599839596,0.00979151207796968,0.0464873999956662,"negative"
"90.9715",0.000104731752136752,0.00107435918143354,0.0974829963262441,-3.35870559404197,0.0640545335733722,0.142888656970159,"negative"
"90.9858",0.0343791919401709,0.174765681484245,0.196715920701344,-2.34581437170206,0.00577344451684522,0.0441244721512625,"negative"
"91.022",0.361756507008547,0.747058280751527,0.484241345460526,-1.04620183020495,0.0185134737753539,0.0623548826142225,"negative"
"91.0287",0.480454357564103,0.857954208268122,0.560000001088583,-0.836501264912668,0.00673381491603546,0.0441244721512625,"negative"
"91.0312",0.00517690138034188,0.00925886831800847,0.55912895642687,-0.838747033032888,0.135136475244673,0.24138124810093,"negative"
"91.9574",0.000154736003418803,0.000567995335976181,0.272424778194468,-1.87607016630778,0.186115841294673,0.311272989723707,"negative"
"92.0216",0.000818287824786325,0.00373977834711775,0.218806503710836,-2.19227247406986,0.0172860818358266,0.0598303740701746,"negative"
"92.0254",0.272144011068376,0.368880518679855,0.737756528976704,-0.43878331165213,0.205431241182615,0.33172466234309,"negative"
"92.0507",0.00351217555128205,0.00583372378752225,0.602046939348455,-0.732052121980017,0.348753833677228,0.48860331801825,"negative"
"92.9263",0.000875309517094017,0.00527184709866757,0.166034693478733,-2.59044336608576,0.0275688964416602,0.080228882229253,"negative"
"92.9279",0.770060996068376,5.66326814317821,0.135974666323361,-2.87859020939834,0.00421406529534625,0.0441244721512625,"negative"
"93.0013",0.0218411020470085,0.0471361458932938,0.463362068176982,-1.10978814799325,0.033398146339218,0.0901231576382003,"negative"
"93.0191",0.000513798042735043,0.00122293924725736,0.420133742446584,-1.25107943640055,0.298786868555896,0.437369812358746,"negative"
"93.0347",0.363081799444444,0.825723274923099,0.439713655253643,-1.18536375892354,0.00388932660210315,0.0441244721512625,"negative"
"93.0454",0.00328998326495727,0.0134007424387385,0.245507536615783,-2.02616078166584,0.361931953591791,0.500160421661345,"negative"
"93.9728",0.000112051063871795,0.000655822660620116,0.170855736771652,-2.54914940536973,0.0640545335733722,0.142888656970159,"negative"
"94.0298",0.000827235846153846,0.00494979894757688,0.167125140821893,-2.58099931893396,0.196485692362495,0.321444901781435,"negative"
"94.0381",0.00207249995299145,0.00899157329083413,0.230493583931983,-2.11720150283727,0.0211925682031231,0.0675166374429342,"negative"
"94.9252",0.525133425149573,3.87256420228706,0.135603542696449,-2.88253322493941,0.00421406529534625,0.0441244721512625,"negative"
